iter	Passed	Remaining
0	3	392
1	5	275
2	6	223
3	8	194
4	9	184
5	11	179
6	13	173
7	14	171
8	18	186
9	20	187
10	22	184
11	24	178
12	33	222
13	39	245
14	42	241
15	45	239
16	50	245
17	55	252
18	57	244
19	61	244
20	65	245
21	69	245
22	71	240
23	74	237
24	76	229
25	79	226
26	81	219
27	83	214
28	85	208
29	88	206
30	90	200
31	91	194
32	96	195
33	98	191
34	100	186
35	103	183
36	105	179
37	110	181
38	113	177
39	116	174
40	118	170
41	119	164
42	122	162
43	125	159
44	127	155
45	129	151
46	131	148
47	133	144
48	135	141
49	141	141
50	144	138
51	148	137
52	150	133
53	155	132
54	157	128
55	161	126
56	167	126
57	174	126
58	181	126
59	183	122
60	187	119
61	189	115
62	190	112
63	192	108
64	197	106
65	201	103
66	203	100
67	205	96
68	207	93
69	209	89
70	212	86
71	214	83
72	218	80
73	220	77
74	221	73
75	223	70
76	225	67
77	227	64
78	232	61
79	236	59
80	239	56
81	242	53
82	244	49
83	245	46
84	249	43
85	251	40
86	253	37
87	255	34
88	256	31
89	258	28
90	260	25
91	262	22
92	301	22
93	305	19
94	308	16
95	310	12
96	324	10
97	326	6
98	330	3
99	344	0
